,en,es,ja
castellano,ingles,castellano,yanomami
Ingles,English, Ingles,English
Español, Spanish, Español,Español
Yanomami, Yanomamo, Yanomami,Yanomami
Nueva colmena ganada, Hives done...,Nueva colmena ganada,Puu kea ya ki thapope
Lista las medicinas, Medicine done..., Lista las medicinas,Mirisina ke pe aha 
Bonos, Bonus, Bonos,Nomaiha
Mañoco..., Ha ingles, Ha español,Mañoco 
Medicinas, Medicines, Medicinas,Mirisina
Elige un idioma y presiona el boton aplicar, Choice an languaje and press on applic button, Elige un idioma y presiona el boton aplicar,The a ta tere ihi tehe ai the ta hutikiki aplicar
Primer diálogo, First dialogue, Primer diálogo,Wayou pario
Segundo diálogo, Second dialogue, Segundo diálogo,Wayou koo
Tercer diálogo, Third dialogue, Tercer diálogo,Ai the a wayou koo
Umm.. debo llevar esto al lugar correcto, ¡Umm..! i must to transport it to the correct place, ¡Umm..!  llevar al lugar correcto,Ya the nia teai totihitao 
Viva he conseguido el fuego. Lo llevare al chaman, ¡Viva! i have accomplish the fire. Lo llevaré al chamán ingles, ¡Viva! he conseguido el fuego. Lo llevaré al chamán,Kowa wake terema.shapori pe iha ya wake hipeape
Fuegoooo...,Flame..., Fuegoooo...,Kowa wake
Agua, Water, Agua...,Mau
Ho ho me han visto, ¡Ho ho! he show me,¡Ho ho! me han visto,Ware tararema
Pausado, Paused, Pausado,Waihaki
Continuar, Continue, Continuar,Kuwa ai koo
Colmenas, Hives, Colmenas,Puu kea
Plumas, Feathers, Plumas,Paushi keki
Inventario, Schedule, Inventario,Komi the pe
Umm.. debo llevar este fuego al lugar correcto,Umm ..! I bring this fire to the right place,¡Umm..! debo llevar este fuego al lugar correcto,Kowa wake teai totihitao
Umm.. debo llevar esta pluma azul al lugar correcto,Umm ..! I bring this blue pen to the right place,¡Umm..! debo llevar esta pluma azul al lugar correcto,Paushi ushi ushi keki 
Umm.. debo llevar esta pluma amarilla al lugar correcto,Umm ..! I take this yellow feather to the right place,¡Umm..! debo llevar esta pluma amarilla al lugar correcto,Paushi frare frare keki
Umm.. debo llevar esta pluma morada al lugar correcto,Umm ..! I take this purple feather to the right place,¡Umm..! debo llevar esta pluma morada al lugar correcto,Paushi ushuhuwe keki
Umm.. debo llevar esta pluma roja al lugar correcto,Umm ..! I wear this red feather to the right place,¡Umm..! debo llevar esta pluma roja al lugar correcto,Paushi wake wake keki 
Umm.. debo llevar esta pluma verde al lugar correcto,Umm ..! I bring this green feather to the right place,¡Umm..! debo llevar esta pluma verde al lugar correcto,Paushi riye riye keki 
Pluma azul,Feathers blue,Pluma azul,Paushi ushi ushi  
Pluma amarilla,Feathers yellow,Pluma amarilla,Paushi frare
Pluma morada,Feathers purple,Pluma morada,Paushi ushuhuwe
Pluma roja,Feathers red,Pluma roja,Paushi wake  
Pluma blanca,White feather,Pluma blanca,Paushi au au
Pluma verde,Feathers green,Pluma verde,Paushi riye riye 
Una pluma para mi coleccion,A feather for my colecction,Una pluma para mi colección,Paushi ya ki thapope
Flor blanca,White flower,Flor blanca,Hore hore au au 
Flor rosada,Pink flower,Flor rosada,Hore hore ushuhuwe
Flor roja,Red flower,Flor roja,Hore hore wake wake 
Hongo liso,Smooth fungus,Hongo liso,Sikomi asi ki 
Hongo pintado,Painted fungus,Hongo pintado,Atama keki
Huevo,Egg,Huevo,Pei nathe
Mision,Next mision,Próxima misión...,Pei the aha 
"Gracias, hasta pronto","Thank you, see you latter","Gracias, hasta pronto",Hoa ai tehe kowe
Umm.. debo llevar este huevo al lugar correcto,Umm ..! I bring this egg to the right place,Umm.. debo llevar este huevo al lugar correcto,Ei nathe re kuwi ya nathe praai totihitaope 
mision fuego,Fire Mision,Misión del Fuego,Kowa wake aha
