,en,es,ja,pt_BR,ar,zh,ru,jivi
castellano,ingles,castellano,yanomami,portugues,arabe,chino,ruso,
Ingles,English,English, Ingles,Inglês,الإنجليزية,英語,английский,
Español, Spanish, Español,Español,Espanhol,الأسبانية,西班牙語,испанский,
Yanomami, Yanomamo, Yanomami,Yanomami,Yanomami,يانومامي,亞努瑪米,Яномами,
Arabe,Arab,Árabe,Arabe,Árabe,العربي,阿拉伯联盟,арабский,
Chino,Chinese,Chino,Chino,Chinês,الصينية,中国,китайский,
Ruso,Russian,Ruso,Ruso,Russo,الروسية,俄,Pусский,
Portugues,Portuguese,Portugués,Portugués,Português,البرتغالية,葡萄牙,португальский,
Nueva colmena ganada, Hives done...,Nueva colmena ganada,Puu kea ya ki thapope,New colmeia ganhou,خلية اكتسبت جديدة,新獲得的蜂巢,Новый получил улей,
Lista las medicinas, Medicine done..., Lista las medicinas,Mirisina ke pe aha ,Medicamentos da lista,الأدوية قائمة,藥品名單,Список лекарств,
Aplicar,Apply,Aplicar,Aplicar,Aplicar,تطبق,申请,применять,
Bonos, Bonus, Bonos,Nomaiha,Títulos,قيود,債券,облигации,
Mañoco..., Ha ingles, Mañoco,Mañoco ,Mañoco,Mañoco,Mañoco,Mañoco,
Medicinas, Medicines, Medicinas,Mirisina,Medicamentos,الأدوية,藥品,медикаменты,
Elige un idioma y presiona el boton aplicar, Choice an languaje and press on applic button,Elige un idioma y presiona el boton aplicar,The a ta tere ihi tehe ai the ta hutikiki aplicar,Escolha um idioma e pressione o botão para aplicar,اختيار اللغة واضغط على الزر لتطبيق,選擇一種語言，然後按按鈕應用,"Пожалуйста, выберите язык и нажмите кнопку, чтобы применить",
Primer diálogo, First dialogue,Primer diálogo,Wayou pario,primeiro diálogo,أول حوار,第一次對話,первый диалог,
Segundo diálogo, Second dialogue,Segundo diálogo,Wayou koo,segundo diálogo,الحوار الثاني,第二次對話,второй диалог,
Tercer diálogo, Third dialogue,Tercer diálogo,Ai the a wayou koo,terceiro diálogo,الحوار الثالث,第三對話,третий диалог,
Umm.. debo llevar esto al lugar correcto, ¡Umm..! i must to transport it to the correct place,¡Umm..!  llevar al lugar correcto,Ya the nia teai totihitao ,Umm ..! tomar o lugar certo,أم ..! أخذ المكان المناسب,嗯..！採取正確的地方,Умм ..! занять правильное место,
Viva he conseguido el fuego. Lo llevare al chaman, ¡Viva! i have accomplish the fire. Lo llevaré al chamán ingles,¡Viva! he conseguido el fuego. Lo llevaré al chamán,Kowa wake terema.shapori pe iha ya wake hipeape,Viva! Eu tenho o fogo. Vou levar o xamã,فيفا! لقد حصلت على النار. سآخذ الشامان,萬歲！我有火。我要巫師,Viva! У меня есть огонь. Я возьму шаману,
Fuegoooo...,Flame..., Fuegoooo...,Kowa wake,fuegoooo …,حريق,火,огонь,
Agua, Water, Agua...,Mau,Água ...,ماء,水...,вода,
Ho ho me han visto, ¡Ho ho! he show me,¡Ho ho! me han visto,Ware tararema,Ho ho! Eu ter-me visto,هو هو! لقد رآني,嗬嗬！我已經看到了我,Хо хо! Я видел меня,
Pausado, Paused, Pausado,Waihaki,Vagaroso,على مهل,悠閒,неторопливый,
Continuar, Continue, Continuar,Kuwa ai koo,Continuar,استمر,繼續,продолжать,
Colmenas, Hives, Colmenas,Puu kea,Colmeias,خلية نحل,蜂箱,ульи,
Plumas, Feathers, Plumas,Paushi keki,Penas,الريش,羽毛,перья,
Inventario, Schedule, Inventario,Komi the pe,Inventário,جرد,盤點,инвентарь,
Umm.. debo llevar este fuego al lugar correcto,Umm ..! I bring this fire to the right place,¡Umm..! debo llevar este fuego al lugar correcto,Kowa wake teai totihitao,Umm ..! Eu trago este fogo para o lugar certo,أم ..! أحمل هذه النار في المكان المناسب,嗯..！我把這個火到正確的位置,Умм ..! Я приношу этот огонь в нужное место,
Umm.. debo llevar esta pluma azul al lugar correcto,Umm ..! I bring this blue pen to the right place,¡Umm..! debo llevar esta pluma azul al lugar correcto,Paushi ushi ushi keki ,Umm ..! Eu trago esta caneta azul ao lugar certo,أم ..! أحمل هذا القلم الأزرق إلى المكان الصحيح,嗯..！我把這個藍色的筆到正確的位置,Умм ..! Я приношу эту синей ручкой в нужном месте,
Umm.. debo llevar esta pluma amarilla al lugar correcto,Umm ..! I take this yellow feather to the right place,¡Umm..! debo llevar esta pluma amarilla al lugar correcto,Paushi frare frare keki,Umm ..! Aproveito a pena amarela ao lugar certo,أم ..! وأغتنم هذه ريشة الصفراء إلى المكان الصحيح,嗯..！我藉此黃羽到正確的位置,Умм ..! Я беру это желтое перо на нужном месте,
Umm.. debo llevar esta pluma morada al lugar correcto,Umm ..! I take this purple feather to the right place,¡Umm..! debo llevar esta pluma morada al lugar correcto,Paushi ushuhuwe keki,Umm ..! Aproveito a pena roxo ao lugar certo,أم ..! وأغتنم هذه قلم الأرجواني إلى المكان الصحيح,嗯..！我藉此紫色筆來對了地方,Умм ..! Я пользуюсь этой фиолетовую ручку в нужное место,
